# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
18SrRNA-Psi:CR45861	FBgn0267521	FBtr0346900	pseudogene	0	0	0	16	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
18w	FBgn0004364	FBtr0086309	protein_coding	0	65	5	203	4	0	2	0	0	0	3	110	0	0	0	2	0	0	0	0	0	0	0	0	0	65	87
26-29-p	FBgn0250848	FBtr0075766	protein_coding	1	16	0	235	3	0	5	0	0	0	0	101	1	0	13	0	0	0	0	0	1	0	0	0	0	15	114
28SrRNA-Psi:CR40741	FBgn0085771	FBtr0346896	pseudogene	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
28SrRNA-Psi:CR41609	FBgn0085819	FBtr0346904	pseudogene	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
28SrRNA-Psi:CR45853	FBgn0267513	FBtr0346888	pseudogene	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
28SrRNA-Psi:CR45855	FBgn0267515	FBtr0346891	pseudogene	0	0	0	20	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12
28SrRNA-Psi:CR45859	FBgn0267519	FBtr0346895	pseudogene	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
28SrRNA-Psi:CR45860	FBgn0267520	FBtr0346903	pseudogene	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
28SrRNA-Psi:CR45862	FBgn0267522	FBtr0346902	pseudogene	0	0	0	29	0	0	0	0	0	0	0	20	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6
2SrRNA-Psi:CR40677	FBgn0085765	FBtr0346890	pseudogene	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
2SrRNA-Psi:CR45858	FBgn0267518	FBtr0346894	pseudogene	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2SrRNA:CR45864	FBgn0267524	FBtr0346898	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2mit	FBgn0260793	FBtr0301436	protein_coding	0	21	11	624	73	0	18	0	0	0	0	83	0	0	339	11	0	0	0	0	1	0	0	0	0	20	112
2mit	FBgn0260793	FBtr0330143	protein_coding	0	21	11	624	73	0	18	0	0	0	0	83	0	0	339	11	0	0	0	0	1	0	0	0	0	20	112
2mit	FBgn0260793	FBtr0344729	protein_coding	0	20	11	212	3	0	2	0	0	0	0	86	0	0	51	11	0	0	0	0	0	0	0	0	0	20	70
2mit	FBgn0260793	FBtr0344730	protein_coding	0	20	11	238	36	0	2	0	0	0	0	79	0	0	51	11	0	0	0	0	0	0	0	0	0	20	70
4E-T	FBgn0052016	FBtr0089229	protein_coding	0	4	5	58	1	0	0	0	0	0	0	17	0	0	14	5	0	0	0	0	0	0	0	0	0	4	26
4E-T	FBgn0052016	FBtr0089233	protein_coding	0	4	5	58	1	0	0	0	0	0	0	17	0	0	14	5	0	0	0	0	0	0	0	0	0	4	26
4E-T	FBgn0052016	FBtr0310651	protein_coding	0	4	5	58	1	0	0	0	0	0	0	17	0	0	14	5	0	0	0	0	0	0	0	0	0	4	26
4E-T	FBgn0052016	FBtr0334626	protein_coding	0	4	5	57	1	0	0	0	0	0	0	17	0	0	14	5	0	0	0	0	0	0	0	0	0	4	25
4EHP	FBgn0053100	FBtr0084587	protein_coding	0	2	0	1091	12	1	4	0	0	0	0	67	0	0	953	0	0	0	0	0	1	0	0	0	0	0	56
4EHP	FBgn0053100	FBtr0300475	protein_coding	0	1	0	1031	10	1	4	0	0	0	0	53	0	0	908	0	0	0	0	0	0	0	0	0	0	0	56
4EHP	FBgn0053100	FBtr0303159	protein_coding	0	1	0	1062	27	1	4	0	0	0	0	63	0	0	912	0	0	0	0	0	0	0	0	0	0	0	56
4EHP	FBgn0053100	FBtr0303160	protein_coding	0	2	0	1081	5	1	4	0	0	0	0	68	0	0	948	0	0	0	0	0	1	0	0	0	0	0	56
5-HT1A	FBgn0004168	FBtr0086577	protein_coding	2	24	13	1703	15	0	21	0	0	1	0	141	2	0	1395	12	0	0	0	0	2	0	0	0	0	22	133
5-HT1B	FBgn0263116	FBtr0086599	protein_coding	0	22	6	462	2	0	23	0	0	1	0	143	0	0	185	5	0	0	0	0	2	0	0	0	0	20	111
5-HT1B	FBgn0263116	FBtr0330055	protein_coding	0	21	6	506	16	0	23	0	0	1	0	172	0	0	186	5	0	0	0	0	2	0	0	0	0	19	111
5-HT1B	FBgn0263116	FBtr0330056	protein_coding	0	22	6	505	16	0	23	0	0	1	0	172	0	0	185	5	0	0	0	0	2	0	0	0	0	20	111
5-HT2A	FBgn0087012	FBtr0078854	protein_coding	0	9	3	180	6	0	2	1	0	0	0	44	0	0	94	2	0	0	0	0	2	0	0	0	0	7	36
5-HT2A	FBgn0087012	FBtr0078855	protein_coding	0	9	3	180	4	0	2	1	0	0	0	44	0	0	96	2	0	0	0	0	2	0	0	0	0	7	36
5-HT2A	FBgn0087012	FBtr0300474	protein_coding	0	9	1	146	2	0	2	1	0	0	0	29	0	0	79	0	0	0	0	0	2	0	0	0	0	7	36
5-HT2A	FBgn0087012	FBtr0339395	protein_coding	0	9	3	136	4	0	4	1	0	0	0	44	0	0	59	2	0	0	0	0	2	0	0	0	0	7	27
5-HT2A	FBgn0087012	FBtr0339397	protein_coding	0	9	3	180	4	0	2	1	0	0	0	44	0	0	96	2	0	0	0	0	2	0	0	0	0	7	36
5-HT2B	FBgn0261929	FBtr0303603	protein_coding	0	10	4	595	5	1	8	0	0	0	0	66	0	0	471	4	0	0	0	0	1	0	0	0	0	8	46
5-HT2B	FBgn0261929	FBtr0330144	protein_coding	0	11	5	593	3	1	8	0	0	0	0	66	0	0	471	5	0	0	0	0	1	0	0	0	0	9	46
5-HT2B	FBgn0261929	FBtr0339322	protein_coding	0	10	4	613	32	1	8	0	0	0	0	57	0	0	471	4	0	0	0	0	1	0	0	0	0	8	46
5-HT7	FBgn0004573	FBtr0085746	protein_coding	0	29	6	1174	17	0	8	0	2	1	1	102	0	0	963	2	0	0	0	0	0	0	0	0	0	29	84
5-HT7	FBgn0004573	FBtr0334508	protein_coding	0	29	6	1192	24	0	8	0	2	1	1	113	0	0	963	2	0	0	0	0	0	0	0	0	0	29	84
5.8SrRNA-Psi:CR45854	FBgn0267514	FBtr0346889	pseudogene	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10
5.8SrRNA-Psi:CR45857	FBgn0267517	FBtr0346893	pseudogene	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
5.8SrRNA-Psi:CR45863	FBgn0267523	FBtr0346897	pseudogene	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5.8SrRNA:CR40454	FBgn0250731	FBtr0346901	rRNA	0	0	0	13	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
5PtaseI	FBgn0259178	FBtr0299660	protein_coding	0	4	2	174	4	0	0	0	0	0	0	70	0	0	41	2	0	0	0	0	1	0	0	0	0	4	59
5PtaseI	FBgn0259178	FBtr0299661	protein_coding	0	7	4	165	12	0	0	0	0	0	0	72	0	0	22	4	0	0	0	0	0	0	0	0	0	7	59
5PtaseI	FBgn0259178	FBtr0299662	protein_coding	0	10	5	165	1	0	0	0	0	0	0	70	0	0	35	5	0	0	0	0	1	0	0	0	0	10	59
5SrRNA-Psi:CR33356	FBgn0053356	FBtr0086348	pseudogene	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
5SrRNA-Psi:CR33363	FBgn0053363	FBtr0086355	pseudogene	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
5SrRNA:CR33353	FBgn0053353	FBtr0086345	rRNA	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
5SrRNA:CR33354	FBgn0053354	FBtr0086346	rRNA	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
5SrRNA:CR33355	FBgn0053355	FBtr0086347	rRNA	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
5SrRNA:CR33357	FBgn0053357	FBtr0086349	rRNA	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
5SrRNA:CR33358	FBgn0053358	FBtr0086350	rRNA	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
5SrRNA:CR33359	FBgn0053359	FBtr0086351	rRNA	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
5SrRNA:CR33360	FBgn0053360	FBtr0086352	rRNA	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
5SrRNA:CR33361	FBgn0053361	FBtr0086353	rRNA	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
5SrRNA:CR33362	FBgn0053362	FBtr0086354	rRNA	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
5SrRNA:CR33364	FBgn0053364	FBtr0086356	rRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
5SrRNA:CR33365	FBgn0053365	FBtr0086357	rRNA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
5SrRNA:CR33366	FBgn0053366	FBtr0086358	rRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
5SrRNA:CR33432	FBgn0053432	FBtr0086424	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33433	FBgn0053433	FBtr0086425	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33434	FBgn0053434	FBtr0086426	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33435	FBgn0053435	FBtr0086427	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33436	FBgn0053436	FBtr0086428	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33437	FBgn0053437	FBtr0086429	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33438	FBgn0053438	FBtr0086430	rRNA	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33439	FBgn0053439	FBtr0086431	rRNA	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33440	FBgn0053440	FBtr0086432	rRNA	0	0	0	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33441	FBgn0053441	FBtr0086433	rRNA	0	0	0	22	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33442	FBgn0053442	FBtr0086434	rRNA	0	0	0	23	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33443	FBgn0053443	FBtr0086435	rRNA	0	0	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33444	FBgn0053444	FBtr0086436	rRNA	0	0	0	28	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33445	FBgn0053445	FBtr0086437	rRNA	0	1	0	31	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
5SrRNA:CR33446	FBgn0053446	FBtr0086438	rRNA	0	0	0	33	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33447	FBgn0053447	FBtr0086439	rRNA	0	0	0	33	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33448	FBgn0053448	FBtr0086440	rRNA	0	0	0	35	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33449	FBgn0053449	FBtr0086441	rRNA	0	0	0	39	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33450	FBgn0053450	FBtr0086442	rRNA	0	0	0	42	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33451	FBgn0053451	FBtr0086443	rRNA	0	0	0	43	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33452	FBgn0053452	FBtr0086444	rRNA	0	0	0	43	0	0	0	0	0	0	0	33	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7
7B2	FBgn0041707	FBtr0078789	protein_coding	0	3	1	27	0	0	1	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15
7B2	FBgn0041707	FBtr0301640	protein_coding	0	3	1	27	0	0	1	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15
7SLRNA:CR32864	FBgn0000003	FBtr0081624	lincRNA	0	0	0	101	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
7SLRNA:CR42652	FBgn0261504	FBtr0302398	lincRNA	0	0	0	103	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
825-Oak	FBgn0052208	FBtr0273406	protein_coding	0	0	1	152	1	0	0	0	0	0	0	83	0	0	0	1	0	0	0	0	0	0	0	0	0	0	68
A16	FBgn0028965	FBtr0080427	protein_coding	0	9	0	182	0	1	3	0	0	0	0	43	0	0	11	0	0	0	0	0	1	0	0	0	0	7	126
A2bp1	FBgn0052062	FBtr0113418	protein_coding	0	22	10	2739	4	0	10	0	1	3	1	108	0	0	2362	5	0	0	0	0	6	0	0	0	0	18	259
A2bp1	FBgn0052062	FBtr0113419	protein_coding	0	21	9	2742	6	0	10	0	1	3	1	108	0	0	2362	4	0	0	0	0	5	0	0	0	0	17	259
A2bp1	FBgn0052062	FBtr0305093	protein_coding	0	25	10	4023	28	2	26	0	1	3	1	168	0	0	3632	5	0	0	0	0	7	0	0	0	0	18	174
A2bp1	FBgn0052062	FBtr0305094	protein_coding	0	14	7	2748	1	0	10	0	1	0	1	109	0	0	2372	5	0	0	0	0	5	0	0	0	0	11	259
A2bp1	FBgn0052062	FBtr0305095	protein_coding	0	21	10	2843	37	0	10	0	1	3	1	178	0	0	2362	5	0	0	0	0	5	0	0	0	0	18	259
A2bp1	FBgn0052062	FBtr0305096	protein_coding	0	21	10	2824	28	0	10	0	1	3	1	168	0	0	2362	5	0	0	0	0	5	0	0	0	0	18	259
A2bp1	FBgn0052062	FBtr0305097	protein_coding	0	25	10	3939	4	2	26	0	1	3	1	108	0	0	3632	5	0	0	0	0	7	0	0	0	0	18	174
A2bp1	FBgn0052062	FBtr0332985	protein_coding	0	11	3	2860	37	0	10	0	0	0	1	178	0	0	2379	2	0	0	0	0	5	0	0	0	0	8	259
AANATL2	FBgn0031791	FBtr0079243	protein_coding	0	10	1	251	7	0	2	0	0	0	0	99	0	0	0	1	0	0	0	0	0	0	0	0	0	10	143
AANATL2	FBgn0031791	FBtr0340167	protein_coding	0	10	1	252	8	0	2	0	0	0	0	99	0	0	0	1	0	0	0	0	0	0	0	0	0	10	143
ABCB7	FBgn0035244	FBtr0072754	protein_coding	2	53	7	354	10	0	1	0	0	0	0	109	2	0	76	7	0	0	0	0	0	0	0	0	0	53	158
ABCB7	FBgn0035244	FBtr0072755	protein_coding	0	53	7	349	3	0	1	0	0	0	0	109	0	0	78	7	0	0	0	0	0	0	0	0	0	53	158
ACC	FBgn0033246	FBtr0088871	protein_coding	0	37	8	166	0	1	1	0	0	0	0	47	0	0	74	8	0	0	0	0	3	0	0	0	0	35	45
ACC	FBgn0033246	FBtr0088872	protein_coding	0	36	7	168	0	1	2	0	0	0	0	47	0	0	75	7	0	0	0	0	3	0	0	0	0	34	45
ACC	FBgn0033246	FBtr0113053	protein_coding	1	36	7	167	0	1	4	0	0	0	0	47	0	0	73	7	0	0	0	1	3	0	0	0	0	34	45
ACC	FBgn0033246	FBtr0339123	protein_coding	0	36	6	141	0	0	4	0	0	0	0	47	0	0	29	6	0	0	0	0	3	0	0	0	0	35	62
ACC	FBgn0033246	FBtr0339124	protein_coding	0	35	7	197	0	0	4	0	0	0	0	47	0	0	98	7	0	0	0	0	3	0	0	0	0	34	49
ACC	FBgn0033246	FBtr0339125	protein_coding	0	37	7	218	0	2	4	0	0	0	0	47	0	0	109	7	0	0	0	0	3	0	0	0	0	34	59
ACXA	FBgn0040510	FBtr0080415	protein_coding	0	39	6	176	4	0	2	0	0	0	0	96	0	0	32	6	0	0	0	0	3	0	0	0	0	36	45
ACXA	FBgn0040510	FBtr0305490	protein_coding	0	39	6	176	4	0	2	0	0	0	0	96	0	0	32	6	0	0	0	0	3	0	0	0	0	36	45
ACXA	FBgn0040510	FBtr0305491	protein_coding	0	14	5	202	30	0	2	0	0	0	0	96	0	0	32	5	0	0	0	0	3	0	0	0	0	11	45
ACXA	FBgn0040510	FBtr0333225	protein_coding	0	32	5	184	12	0	2	0	0	0	0	96	0	0	32	5	0	0	0	0	3	0	0	0	0	29	45
ACXA	FBgn0040510	FBtr0344132	protein_coding	0	14	3	204	31	0	2	0	0	0	0	96	0	0	33	3	0	0	0	0	3	0	0	0	0	11	45
ACXB	FBgn0040509	FBtr0080414	protein_coding	1	15	6	156	2	0	1	0	0	0	0	95	0	0	17	6	0	0	0	0	2	0	1	0	0	13	43
ACXC	FBgn0040508	FBtr0080413	protein_coding	0	20	2	157	1	0	0	0	0	0	0	60	0	0	21	2	0	0	0	0	5	0	0	0	0	15	80
ACXC	FBgn0040508	FBtr0100494	protein_coding	0	8	2	169	13	0	0	0	0	0	0	60	0	0	20	2	0	0	0	0	4	0	0	0	0	4	80
ACXD	FBgn0040507	FBtr0072874	protein_coding	0	45	4	191	0	1	4	0	0	0	0	56	0	0	58	4	0	0	0	0	7	0	0	0	0	37	80
ACXD	FBgn0040507	FBtr0332662	protein_coding	0	27	2	211	20	1	4	0	0	0	0	56	0	0	58	2	0	0	0	0	7	0	0	0	0	19	80
ACXE	FBgn0040506	FBtr0310556	protein_coding	0	47	5	197	2	0	0	0	0	0	0	83	0	0	26	5	0	0	0	0	4	0	0	0	0	44	89
ADD1	FBgn0026573	FBtr0088041	protein_coding	0	22	9	151	4	1	5	0	0	0	0	64	0	0	14	9	0	0	0	0	0	0	0	0	0	21	64
ADD1	FBgn0026573	FBtr0088042	protein_coding	0	20	6	210	9	1	5	0	0	0	0	101	0	0	31	6	0	0	0	0	1	0	0	0	0	18	64
ADD1	FBgn0026573	FBtr0346629	protein_coding	0	19	7	156	4	1	5	0	0	0	0	64	0	0	19	7	0	0	0	0	0	0	0	0	0	18	64
AGBE	FBgn0053138	FBtr0087732	protein_coding	0	23	4	224	3	0	5	0	0	0	0	82	0	0	33	4	0	0	0	0	0	0	0	0	0	23	101
AGO1	FBgn0262739	FBtr0087612	protein_coding	0	51	1	524	72	0	5	0	0	0	0	126	0	0	207	1	0	0	0	0	2	0	0	0	0	49	116
AGO1	FBgn0262739	FBtr0087613	protein_coding	0	51	1	382	12	0	2	0	0	0	0	107	0	0	146	1	0	0	0	0	2	0	0	0	0	49	117
AGO1	FBgn0262739	FBtr0087614	protein_coding	0	52	1	394	42	0	5	0	0	0	0	121	0	0	106	1	0	1	0	0	3	0	0	0	0	49	121
AGO1	FBgn0262739	FBtr0305592	protein_coding	0	51	1	540	81	0	5	0	0	0	0	133	0	0	207	1	0	0	0	0	2	0	0	0	0	49	116
AGO2	FBgn0087035	FBtr0075559	protein_coding	0	5	9	73	1	0	0	0	0	1	0	34	0	0	6	8	0	0	0	0	1	0	0	0	0	5	32
AGO2	FBgn0087035	FBtr0075560	protein_coding	0	5	9	73	1	0	0	0	0	1	0	34	0	0	6	8	0	0	0	0	1	0	0	0	0	5	32
AGO2	FBgn0087035	FBtr0331933	protein_coding	0	6	5	56	1	1	2	0	0	0	0	34	0	0	1	5	0	0	0	0	0	0	0	0	0	5	18
AGO3	FBgn0250816	FBtr0299880	protein_coding	0	2	0	488	0	0	0	0	0	0	0	20	0	0	454	0	0	0	0	0	1	0	0	0	0	1	15
AGO3	FBgn0250816	FBtr0299881	protein_coding	0	4	0	493	0	2	2	0	0	0	0	20	0	0	459	0	0	0	0	0	1	0	0	0	0	1	13
AGO3	FBgn0250816	FBtr0299882	protein_coding	0	2	0	493	0	0	0	0	0	0	0	20	0	0	461	0	0	0	0	0	1	0	0	0	0	1	13
AGO3	FBgn0250816	FBtr0301725	protein_coding	0	2	1	310	0	0	0	0	0	0	0	21	0	0	275	1	0	0	0	0	1	0	0	0	0	1	15
AIF	FBgn0031392	FBtr0077830	protein_coding	0	7	2	129	5	0	0	0	0	0	0	44	0	0	7	2	0	0	0	0	1	0	0	0	0	6	74
AIF	FBgn0031392	FBtr0077831	protein_coding	0	8	3	122	3	0	0	0	0	0	0	41	0	0	5	3	0	0	0	0	1	0	0	0	0	7	74
AIF	FBgn0031392	FBtr0330657	protein_coding	0	8	3	127	5	0	0	0	0	0	0	44	0	0	5	3	0	0	0	0	1	0	0	0	0	7	74
ALiX	FBgn0086346	FBtr0085241	protein_coding	0	24	6	186	7	0	2	0	0	0	0	114	0	0	14	6	0	0	0	0	5	0	0	0	0	19	54
